date	sec	swe	alb
2003-12-25	-3212.90	0.08	0.83
2003-12-26	-364.55	0.08	0.82
2003-12-27	-834.28	0.08	0.81
2003-12-28	-1066.58	0.08	0.81
2003-12-29	-2171.12	0.08	0.82
2003-12-30	-2185.75	0.08	0.82
2003-12-31	-2373.93	0.08	0.84
2004-01-01	-3588.08	0.08	0.84
2004-01-02	-4395.96	0.09	0.86
2004-01-03	-6195.71	0.09	0.86
2004-01-04	-5846.74	0.10	0.87
2004-01-05	-6240.96	0.11	0.88
2004-01-06	-5994.22	0.13	0.88
2004-01-07	-1550.78	0.13	0.88
2004-01-08	-4007.63	0.13	0.88
2004-01-09	-1802.79	0.14	0.88
2004-01-10	-1565.90	0.15	0.88
2004-01-11	-678.95	0.16	0.88
2004-01-12	-1538.69	0.18	0.88
2004-01-13	-963.97	0.20	0.88
2004-01-14	-2420.40	0.20	0.88
2004-01-15	-2827.34	0.21	0.88
2004-01-16	-2842.41	0.22	0.88
2004-01-17	-3003.78	0.22	0.88
2004-01-18	-4011.86	0.23	0.88
2004-01-19	-7038.75	0.25	0.88
2004-01-20	-5843.37	0.27	0.88
2004-01-21	-7332.18	0.27	0.88
2004-01-22	-10249.38	0.27	0.88
2004-01-23	-15002.75	0.27	0.87
2004-01-24	-14624.39	0.28	0.87
2004-01-25	-6926.35	0.28	0.87
2004-01-26	-6849.04	0.28	0.86
2004-01-27	-8006.80	0.28	0.86
2004-01-28	-7795.78	0.28	0.86
2004-01-29	-7159.78	0.30	0.87
2004-01-30	-6853.43	0.30	0.88
2004-01-31	-5167.80	0.30	0.88
2004-02-01	1637.62	0.31	0.85
2004-02-02	19496.61	0.34	0.82
2004-02-03	23871.25	0.32	0.80
2004-02-04	22149.76	0.27	0.77
2004-02-05	17205.48	0.20	0.75
2004-02-06	12204.22	0.15	0.73
2004-02-07	7673.66	0.13	0.72
2004-02-08	-2015.91	0.14	0.82
2004-02-09	-3633.79	0.15	0.86
2004-02-10	-3849.96	0.16	0.87
2004-02-11	-3722.56	0.18	0.88
2004-02-12	-5920.29	0.18	0.88
2004-02-13	-2088.55	0.19	0.88
2004-02-14	-987.99	0.20	0.88
2004-02-15	-1892.59	0.20	0.88
2004-02-16	-3816.99	0.20	0.87
2004-02-17	-4577.21	0.20	0.87
2004-02-18	-3516.49	0.20	0.87
2004-02-19	-4877.58	0.21	0.88
2004-02-20	-7508.94	0.21	0.86
2004-02-21	-6820.38	0.21	0.85
2004-02-22	-2558.69	0.22	0.86
2004-02-23	-5089.98	0.22	0.87
2004-02-24	-7120.54	0.22	0.87
2004-02-25	-6404.99	0.23	0.87
2004-02-26	-6193.86	0.23	0.88
2004-02-27	-7289.82	0.23	0.88
2004-02-28	-7365.43	0.23	0.88
2004-02-29	-7971.20	0.24	0.88
2004-03-01	-7129.78	0.24	0.88
2004-03-02	-3961.11	0.26	0.88
2004-03-03	-3724.09	0.26	0.88
2004-03-04	-6272.64	0.26	0.87
2004-03-05	-9898.76	0.26	0.87
2004-03-06	-9497.78	0.27	0.87
2004-03-07	-6117.66	0.27	0.87
2004-03-08	-5767.10	0.27	0.87
2004-03-09	-5853.05	0.28	0.88
2004-03-10	-5337.62	0.28	0.88
2004-03-11	-4675.89	0.28	0.87
2004-03-12	-2907.19	0.28	0.85
2004-03-13	-930.30	0.29	0.86
2004-03-14	988.08	0.29	0.84
2004-03-15	7675.20	0.29	0.81
2004-03-16	17002.39	0.29	0.79
2004-03-17	19322.99	0.27	0.76
2004-03-18	18002.79	0.22	0.74
2004-03-19	13807.91	0.16	0.73
2004-03-20	8581.02	0.10	0.71
2004-03-21	4528.64	0.06	0.70
2004-03-22	1760.01	0.06	0.73
2004-03-23	586.30	0.07	0.83
2004-03-24	-1056.55	0.10	0.86
2004-03-25	-2460.71	0.10	0.85
2004-03-26	-2834.64	0.10	0.86
2004-03-27	-3337.96	0.10	0.85
2004-03-28	-3449.49	0.10	0.83
2004-03-29	-3610.70	0.10	0.82
2004-03-30	-1692.83	0.10	0.80
2004-03-31	-1010.04	0.10	0.79
2004-04-01	1960.35	0.10	0.77
2004-04-02	6386.01	0.10	0.75
2004-04-03	4966.56	0.07	0.73
2004-04-04	2229.40	0.03	0.71
2004-04-05	959.49	0.01	0.70
2004-04-06	0.00	0.00	0.88
2004-04-07	-603.39	0.00	0.88
2004-04-08	-524.75	0.01	0.88
2004-04-09	-307.31	0.01	0.87
